address,ion-total
osmo13zhgpnl4dzq9x0p9eytzmmn66jlaj3z7yzcadf,0.009438
osmo13zs0yntzdswanglzutk89zad74dwc4v8lwc20a,1.094227
osmo13zvrzx4jllv7vyc3e4nfq02qlxjy0z60hq79v0,1.665172
osmo140478rafvztvv8te38r9yv55aph34du5mfgqpc,0.005547
osmo140achkhvd4u79uhyfaszjwn8y7yq90lr7yc9mc,3.913202
osmo140dzqqd4fruhf6y60urdcja6q4pgx7a4n08y7r,0.014111
osmo140mtc9tsl84l5udw6j6vn672nev95w69ae7jhl,0.809677
osmo140nkcxuxz35xf64mtw3kqlcecvdp9lj5nq8x7e,0.927894
osmo140r4eptd3v6hsmnaze5vdq2ngdav8f9qfedu7f,1.902451
osmo1427rtyet0j4qayl6pyxtmmj9qqmmpptkt2v0vh,8.17333
osmo1428dpgezrcm40j72rljuvsqxth5j5p8n0y99lq,7.611397
osmo142qp7xa4sny8qalk3gf2wyg9j9kq445p32c83u,0.001197
osmo142t7mzhvxd9aa29g8r9hqx6j2c8v7q3zhqjda2,0.993737
osmo142vtwu440zchsws4llnq5rknmslvw2fx4qz5y3,0.026459
osmo143d2gk8dfffh5a77f23tml2de50jyasmggn7qj,0.01688
osmo143nyvk2k2xu3yhfu6x95t9l3nfy4v0trtnkpfa,0.139303
osmo143tw0kj2gtffwgmkr489kwh3fw4pkud0tdr34s,0.158059
osmo143zjplvxtuy53el280m9z2qzzqdxtj7wu5yumk,1e-06
osmo143znuzltwwd8ddyvay4kj9d6dmrnwl3h956ah6,0.002
osmo1447ffn7mtr53trn4egr73qg08fxr9tle2rr98x,1e-06
osmo144m3alupxutcju0tnu2kur9hqsf5k5800exh2g,1.0
osmo144qad5snlwdy9cjf7ct9k5fux47sjr629mr9j6,0.01
osmo144rttd9hh9s83fq6uzczjp46e7wdx8yfemdvjw,0.030186
osmo144t874ylvqte30h4fx7nj7hu2cg9x9yrrn5pp3,1.007603
osmo144tzn2plptplryemuqu99uf0ypz2087f5zxy6y,0.065244
osmo1455756558zywcdhvrne9tr0zemtu6lpmsywyms,0.9552
osmo1463e4vj52dtfz7a0kpg8fqtdczuyqeudxurs24,1.0
osmo146kwpzhmleafmhtaxulfptyhnvwxzlvm23stf6,8.0
osmo147c6pydtytffp53zn9ermvf9d2xas9m83c589j,1.0
osmo147rl7s7azevxvxzlgzy5elxdxvedhauq8g859m,0.047694
osmo148045k6x9f4wmmg84zqumckk5rs34rqahj2p3v,1.0
osmo1488kv08va80uyw3rqm03dxapmgak6mx4kd4rvj,0.055611
osmo1489lvl38wwxgvvmjfpmallt95al3mexgver9at,0.060689
osmo149g2tl9xakprzs5f854ntu5fthdgmuqddx7l7p,13.884886
osmo149w26wpygylgyyewg2wjv583aye5aleuc6p4va,0.892359
osmo14a5k766uzslczxp22g5chu6xkw4gcdgj5zdwwm,0.019951
osmo14ac9hn2dwumcc4kaftm42gqy2gcy0hgrp4cyz4,0.043185
osmo14c4zp75ywy3c988d9djuxevd2ajsyk0sevc34z,0.106646
