address,osmo-total,ion-total
osmo13sjkdmdrg29l2xtdtqrx4kvw882qt7rfusljs9,379.92962,0.818363
osmo13stzqk27y46cr8fz7vfr8dsqqk4wpz90fqmc23,191551.262011,8e-06
osmo13ugmpjgtpzqfmgz0835teyjycvhv266r2whjp7,2323.352001,0.584919
osmo13ul4aenfqnyq9ehhdv9ln56a2we7ja59vz8cn5,2554.272449,0.255344
osmo13uup3md785lsd74aws4hx2et052mferw8n6yat,511.149415,0.036503
osmo13uus00dk300jg7n02rdh9dxzfkgfyj90y6qlrh,8501.655726,1.0
osmo13v75r6zxx22p5yg5f2ll5w8g3lqd9yegrgszp2,701.694905,3.430609
osmo13vwzpmmada8aangxtjyfschf04fh7mfj209m80,3707.389604,3.971163
osmo13wanwq55svzk9pqj45q75l3ft2gprzce5rgk49,3411.817444,0.305509
osmo13wrtdfps0eadzxwkgxtpk20w85tvdg3el4e99m,0.204163,0.000352
osmo13wty05763rtts3ca0waun5m2cshwu0qp5whys9,1131.808537,0.1986
osmo13x76xa23hurf00c755n8n0fa58zlnz0m98qv9n,0.024,0.040537
osmo13x77yexvf6qexfjg9czp6jhpv7vpjdwwmtsu0q,30074.571692,9.000002
